<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;116900;116920;116880;116880
27.09.2018;116880;116880;116770;116770
27.09.2018;116780;116820;116770;116810
27.09.2018;116810;116810;116760;116780
27.09.2018;116790;116840;116780;116790
27.09.2018;116790;116820;116770;116780
27.09.2018;116800;116810;116780;116800
27.09.2018;116800;116870;116800;116870
27.09.2018;116870;116880;116820;116840
27.09.2018;116850;116870;116830;116850
27.09.2018;116850;116860;116810;116830
27.09.2018;116820;116820;116770;116780
27.09.2018;116780;116790;116760;116780
27.09.2018;116770;116780;116750;116760
27.09.2018;116760;116780;116740;116780
27.09.2018;116780;116820;116770;116790
27.09.2018;116770;116780;116730;116760
27.09.2018;116750;116760;116710;116740
27.09.2018;116750;116750;116670;116710
27.09.2018;116690;116710;116620;116640
27.09.2018;116630;116720;116630;116710
27.09.2018;116710;116710;116630;116680
27.09.2018;116670;116730;116670;116690
27.09.2018;116680;116750;116680;116710
27.09.2018;116720;116740;116690;116700
27.09.2018;116700;116750;116700;116740
27.09.2018;116740;116770;116740;116760
27.09.2018;116750;116760;116730;116740
27.09.2018;116730;116770;116710;116720
27.09.2018;116720;116740;116700;116730
27.09.2018;116740;116750;116700;116730
27.09.2018;116730;116730;116620;116700
27.09.2018;116690;116710;116660;116690
27.09.2018;116700;116740;116700;116710
27.09.2018;116700;116730;116700;116720
27.09.2018;116730;116780;116710;116770
27.09.2018;116750;116790;116740;116780
27.09.2018;116780;116830;116780;116790
27.09.2018;116780;116780;116740;116770
27.09.2018;116740;116770;116720;116750
27.09.2018;116750;116750;116700;116700
27.09.2018;116700;116730;116680;116690
27.09.2018;116690;116710;116640;116640
27.09.2018;116640;116670;116610;116610
27.09.2018;116620;116660;116560;116650
27.09.2018;116640;116690;116640;116690
27.09.2018;116690;116720;116680;116710
27.09.2018;116700;116710;116650;116680
27.09.2018;116680;116730;116670;116680
27.09.2018;116680;116730;116670;116720
27.09.2018;116720;116760;116670;116750
27.09.2018;116750;116750;116710;116740
27.09.2018;116750;116780;116730;116740
27.09.2018;116750;116770;116710;116710
