27/09/18 - Открытие;27/09/18 - Максимум;27/09/18 - Минимум;27/09/18 - Закрытие;02/10/18 -  Открытие;02/10/18 - Максимум;02/10/18 - Минимум;02/10/18 - Закрытие;27/11/18 - Открытие;27/11/18 - Максимум;27/11/18 - Минимум;27/11/18 - Закрытие;04/12/18 - Открытие;04/12/18 - Максимум;04/12/18 - Минимум;04/12/18 - Закрытие
115930;115930;115890;115890;117110;117170;117100;117140;109410;109460;109400;109460;115570;115570;115540;115540
115900;115940;115890;115940;117130;117140;117090;117130;109450;109480;109420;109440;115540;115560;115410;115460
115930;116000;115920;116000;117130;117140;117100;117120;109460;109460;109420;109420;115450;115530;115450;115520
116010;116090;115990;116080;117130;117140;117080;117080;109420;109460;109390;109430;115520;115590;115510;115570
116070;116120;116030;116050;117100;117120;117040;117080;109440;109470;109430;109460;115580;115580;115510;115520
116060;116070;116000;116000;117090;117130;117080;117130;109460;109510;109440;109460;115520;115550;115500;115510
116000;116110;116000;116060;117130;117210;117110;117190;109450;109480;109430;109440;115510;115540;115490;115500
116060;116150;116060;116110;117170;117280;117140;117220;109450;109460;109430;109440;115490;115510;115470;115500
116100;116160;116090;116160;117230;117290;117220;117270;109450;109500;109450;109460;115500;115500;115460;115460
116160;116340;116140;116280;117270;117300;117260;117290;109460;109500;109460;109460;115470;115480;115440;115470
116280;116290;116220;116220;117300;117300;117260;117280;109460;109470;109420;109470;115460;115480;115420;115460
116230;116310;116230;116300;117280;117300;117250;117270;109470;109480;109400;109420;115470;115470;115410;115460
116300;116340;116230;116240;117270;117290;117250;117250;109410;109410;109320;109360;115470;115490;115440;115450
116240;116280;116210;116230;117250;117260;117220;117230;109370;109400;109330;109360;115450;115490;115450;115480
116220;116220;116110;116120;117250;117260;117180;117230;109370;109460;109360;109450;115480;115490;115470;115490
116130;116180;116120;116160;117220;117240;117200;117220;109450;109460;109400;109420;115480;115480;115410;115420
116180;116250;116170;116210;117220;117230;117180;117180;109420;109440;109400;109410;115420;115460;115410;115440
116210;116240;116180;116180;117190;117250;117170;117250;109410;109540;109410;109540;115450;115460;115390;115460
116200;116260;116170;116220;117250;117390;117250;117360;109530;109570;109480;109480;115440;115470;115430;115460
116230;116250;116190;116230;117370;117370;117300;117320;109480;109550;109480;109550;115460;115480;115450;115470
116240;116250;116190;116220;117340;117350;117290;117350;109540;109600;109520;109520;115470;115490;115460;115470
116210;116330;116190;116260;117330;117350;117270;117320;109540;109590;109500;109590;115490;115530;115490;115510
116290;116440;116280;116370;117290;117470;117280;117440;109570;109570;109050;109160;115530;115570;115520;115570
116380;116420;116330;116350;117430;117550;117430;117550;109160;109190;109020;109120;115560;115600;115550;115570
116350;116360;116310;116310;117550;117670;117540;117620;109110;109230;109110;109200;115580;115600;115540;115560
116330;116350;116310;116340;117630;117640;117520;117530;109200;109230;109180;109180;115560;115600;115560;115600
116330;116350;116300;116340;117540;117540;117500;117530;109190;109350;109190;109340;115600;115600;115530;115600
116350;116390;116320;116390;117520;117530;117430;117430;109340;109510;109310;109460;115600;115600;115570;115600
116390;116440;116350;116360;117430;117480;117430;117450;109460;109460;109410;109440;115600;115620;115580;115610
116350;116390;116320;116330;117440;117470;117430;117460;109450;109460;109400;109440;115620;115620;115570;115580
116330;116410;116320;116400;117470;117480;117450;117470;109450;109450;109370;109420;115580;115600;115550;115570
116380;116430;116380;116400;117480;117550;117460;117530;109420;109430;109380;109420;115590;115620;115580;115620
116410;116410;116340;116340;117530;117540;117470;117480;109420;109420;109250;109280;115620;115630;115570;115570
116350;116360;116300;116340;117480;117510;117460;117490;109280;109280;109130;109180;115570;115680;115570;115670
116350;116370;116310;116320;117500;117530;117490;117500;109190;109240;109110;109150;115670;115680;115610;115610
116320;116340;116320;116340;117500;117530;117480;117520;109160;109250;109070;109250;115620;115690;115600;115660
116350;116350;116300;116330;117520;117590;117520;117540;109230;109250;109160;109160;115670;115690;115650;115670
116330;116370;116320;116370;117540;117550;117510;117530;109160;109180;109000;109000;115670;115680;115620;115680
116370;116380;116340;116360;117530;117530;117440;117440;109000;109050;108950;108970;115670;115690;115660;115660
116340;116370;116330;116370;117440;117460;117400;117410;108960;109010;108930;108940;115670;115680;115650;115660
116370;116390;116340;116340;117410;117430;117350;117390;108930;108980;108890;108980;115670;115690;115630;115640
116350;116360;116330;116350;117380;117410;117360;117410;108970;109030;108950;109000;115650;115660;115630;115640
116340;116350;116270;116280;117410;117490;117400;117490;109000;109040;108970;109030;115640;115650;115620;115640
116280;116330;116270;116320;117490;117660;117490;117610;109030;109040;108980;109000;115640;115640;115600;115620
116320;116350;116310;116310;117610;117630;117520;117540;109000;109070;108990;109040;115610;115630;115600;115610
116330;116330;116310;116310;117550;117630;117530;117630;109050;109070;108950;108980;115610;115630;115600;115620
116310;116350;116300;116350;117630;117640;117550;117580;108990;109060;108970;109030;115610;115660;115580;115580
116360;116370;116330;116340;117580;117690;117570;117680;109040;109060;109000;109020;115580;115660;115580;115620
116330;116360;116330;116350;117690;117810;117680;117730;109010;109070;109000;109070;115620;115640;115580;115610
116340;116380;116340;116350;117730;117800;117730;117800;109070;109290;109070;109250;115620;115620;115580;115580
116350;116360;116300;116330;117790;117860;117790;117820;109250;109250;109160;109180;115580;115590;115560;115590
116340;116560;116330;116550;117820;117840;117770;117820;109180;109370;109170;109280;115590;115630;115570;115620
116540;116610;116490;116510;117830;117830;117750;117750;109280;109310;109240;109240;115620;115630;115590;115630
116510;116530;116470;116480;117750;117800;117730;117750;109230;109250;109170;109180;115620;115620;115570;115590
116480;116560;116470;116540;117760;117820;117750;117760;109180;109210;109130;109190;115600;115600;115570;115590
116530;116600;116530;116550;117760;117780;117730;117780;109160;109190;109150;109150;115600;115630;115590;115590
116550;116570;116530;116550;117770;117800;117730;117740;109140;109200;109080;109100;115600;115650;115600;115650
